work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,EN,FT,CYBER PROGRAM MANAGER,63000,USD,63000,US,50,US,S
2022,MI,FT,SECURITY ANALYST,95000,USD,95000,US,0,US,M
2022,MI,FT,SECURITY ANALYST,70000,USD,70000,US,0,US,M
2022,MI,FT,IT SECURITY ANALYST,250000,BRL,48853,BR,50,BR,L
2022,EN,CT,CYBER SECURITY ANALYST,120000,USD,120000,BW,100,BW,S
2022,EX,FT,APPLICATION SECURITY ARCHITECT,315000,USD,315000,US,100,US,L
2022,SE,FT,SECURITY RESEARCHER,220000,USD,220000,US,100,US,M
2022,SE,FT,SECURITY RESEARCHER,140000,USD,140000,US,100,US,M
2021,MI,FT,INFORMATION SECURITY COMPLIANCE ANALYST,55000,GBP,75650,GB,50,GB,L
2022,EX,FT,INFORMATION SECURITY COMPLIANCE MANAGER,360000,USD,321950,TW,100,SG,L
2021,EN,FT,SECURITY SPECIALIST,50000,USD,50000,US,0,US,S
2022,SE,FT,APPLICATION SECURITY SPECIALIST,85000,USD,85000,US,100,US,L
2022,MI,FT,CYBER SECURITY CONSULTANT,90000,USD,90000,US,100,US,L
2022,EN,FT,SECURITY SPECIALIST,50000,USD,50000,US,0,US,S
2022,EX,FT,HEAD OF INFORMATION SECURITY,290000,USD,290000,US,100,US,L
2021,EX,FT,HEAD OF INFORMATION SECURITY,232000,USD,232000,US,100,US,L
2022,EX,FT,HEAD OF INFORMATION SECURITY,244000,USD,244000,US,100,US,L
2022,EN,FT,SECURITY INCIDENT RESPONSE ENGINEER,112000,USD,112000,US,100,US,L
2022,EN,FT,CYBER SECURITY ANALYST,72000,USD,72000,US,100,US,L
2022,SE,FT,ETHICAL HACKER,60000,EUR,64955,NL,50,NL,M
2020,EN,FT,CYBER SECURITY ANALYST,450000,INR,6072,IN,50,IN,L
2021,MI,FT,CYBER SECURITY CONSULTANT,45000,EUR,53192,NL,100,NL,L
2022,EX,FT,CHIEF INFORMATION SECURITY OFFICER,109000,EUR,118002,DE,100,DE,M
2022,MI,FT,DEVSECOPS ENGINEER,152000,USD,152000,US,0,US,M
2022,MI,FT,DEVSECOPS ENGINEER,91000,USD,91000,US,0,US,M
2022,SE,FT,IT SECURITY MANAGER,120000,EUR,129910,DE,50,DE,L
